Designator,Mid X,Mid Y,Rotation,Layer
C1,80.475,-148.775,180.0,top
C10,112.725,-136.0,180.0,top
C11,54.75,-125.0,-90.0,top
C12,125.0,-125.0,-90.0,top
C13,92.21,-107.25,0.0,top
C14,81.0,-96.5,-90.0,top
C15,122.0,-96.5,-90.0,top
C16,101.0,-96.5,-90.0,top
C17,59.0,-96.5,-90.0,top
C2,80.475,-150.275,180.0,top
C3,94.475,-150.775,0.0,top
C4,102.575,-151.275,180.0,top
C5,93.475,-145.775,-90.0,top
C6,95.475,-145.775,-90.0,top
C7,97.475,-145.775,90.0,top
C8,67.0,-136.5,0.0,top
C9,85.5,-119.0,-90.0,top
Q1,60.75,-131.5,0.0,top
Q2,60.75,-121.5,0.0,top
Q3,95.46,-113.0,-90.0,top
Q4,84.46,-113.0,-90.0,top
Q5,118.64058,-131.454,0.0,top
Q6,118.5,-121.2,180.0,top
R1,94.475,-148.775,0.0,top
R2,102.65,-146.775,0.0,top
R3,67.0,-131.5,180.0,top
R4,67.0,-125.75,180.0,top
R5,95.8,-119.0,90.0,top
R6,81.5,-119.0,90.0,top
R7,112.0,-128.5,0.0,top
R8,112.5,-118.5,0.0,top
U1,87.525,-147.775,0.0,top
